round,arm,asset,horizon,regime,reward_lp,val_before,val_after,mean_reward_est,pulls_arm
107,1,BTC,3,high,-0.0008610375225543976,0.014785917475819588,0.015646954998373985,0.005694699214978349,18
108,3,ETH,1,high,0.00012128171510994434,0.0026290651876479387,0.0025077834725379944,0.020592437824234366,19
109,4,ETH,3,high,0.00026302505284547806,0.004900027997791767,0.004637002944946289,-0.005492060522859292,18
110,5,ETH,7,high,5.1155220717191696e-05,0.007856222800910473,0.007805067580193281,0.015611791419551567,19
111,2,BTC,7,high,0.0015120506286621094,0.019285574555397034,0.017773523926734924,0.013766425318623845,19
112,0,BTC,1,high,-0.0005326899699866772,0.003917125053703785,0.004449815023690462,0.007433491268832432,19
113,1,BTC,3,high,-0.00018986035138368607,0.009547271765768528,0.009737132117152214,0.005384985553590873,19
114,3,ETH,1,high,0.00047028064727783203,0.003642967902123928,0.003172687254846096,0.01958632996538654,20
115,4,ETH,3,high,0.00068614911288023,0.00565571803599596,0.00496956892311573,-0.005166891594662475,19
116,5,ETH,7,high,0.00031843874603509903,0.008060957305133343,0.007742518559098244,0.014847123785875743,20
117,2,BTC,7,high,-0.004065936431288719,0.020057229325175285,0.024123165756464005,0.012874807231128216,20
118,0,BTC,1,high,-0.002774271182715893,0.007915737107396126,0.010690008290112019,0.006923103146255016,20
119,1,BTC,3,high,-0.0019981935620307922,0.017270056530833244,0.019268250092864037,0.00501582659780979,20
120,3,ETH,1,high,0.00010146223939955235,0.003186523914337158,0.003085061674937606,0.018658479121291923,21
121,4,ETH,3,high,0.0004850625991821289,0.005445186048746109,0.00496012344956398,-0.004884293884970245,20
122,5,ETH,7,high,0.00040302518755197525,0.008226348087191582,0.007823322899639606,0.014159309566907944,21
123,2,BTC,7,high,0.003173232078552246,0.0225913617759943,0.019418129697442055,0.012412827461957932,21
124,0,BTC,1,high,0.0005859506782144308,0.004452158231288195,0.003866207553073764,0.006621333981110226,21
125,1,BTC,3,high,-0.0006608013063669205,0.009230061434209347,0.009890862740576267,0.004745510983325185,21
126,3,ETH,1,high,-0.0008372091688215733,0.004077558405697346,0.004914767574518919,0.017772311471741308,22
127,4,ETH,3,high,0.0003976006992161274,0.007426954805850983,0.007029354106634855,-0.004632775095247085,21
128,5,ETH,7,high,0.0016054539009928703,0.009986323304474354,0.008380869403481483,0.013588679763911805,22
129,2,BTC,7,high,-0.003272339701652527,0.01764901727437973,0.020921356976032257,0.011699865318157456,22
130,0,BTC,1,high,-0.004899272695183754,0.005453252233564854,0.010352524928748608,0.006097670041278681,22
131,1,BTC,3,high,-0.005195314064621925,0.016890186816453934,0.02208550088107586,0.004293655299327589,22
132,3,ETH,1,high,-8.874060586094856e-05,0.003762432374060154,0.0038511729799211025,0.016995743990106428,23
133,4,ETH,3,high,0.0010113534517586231,0.006192606408149004,0.005181252956390381,-0.004376223797655916,22
134,5,ETH,7,high,0.0007501416839659214,0.008476569317281246,0.007726427633315325,0.013030482456088071,23
135,2,BTC,7,high,0.0030630528926849365,0.020657721906900406,0.01759466901421547,0.01132435173444126,23
136,0,BTC,1,high,-0.002282522153109312,0.0037912423722445965,0.0060737645253539085,0.005733313858913986,23
137,1,BTC,3,high,-0.00306027103215456,0.010788130573928356,0.013848401606082916,0.0039739193718718435,23
138,3,ETH,1,high,0.0009208465926349163,0.006874886341392994,0.005954039748758078,0.016325956598545115,24
139,4,ETH,3,high,0.0024799262173473835,0.008495921269059181,0.006015995051711798,-0.004078130318742729,23
140,5,ETH,7,high,0.0012921118177473545,0.009050651453435421,0.0077585396356880665,0.012541383679490542,24
141,2,BTC,7,high,-0.007158409804105759,0.019803902134299278,0.026962311938405037,0.010554236670335133,24
142,0,BTC,1,high,-0.007153788581490517,0.0102640800178051,0.017417868599295616,0.005196351257230465,24
143,1,BTC,3,high,-0.006688147783279419,0.024331718683242798,0.031019866466522217,0.003529666573740541,24
144,3,ETH,1,high,0.0004991507157683372,0.0062035201117396355,0.005704369395971298,0.015692884363234044,25
145,4,ETH,3,high,0.0021758731454610825,0.008024915121495724,0.005849041976034641,-0.0038175468410675704,24
146,5,ETH,7,high,0.0014753476716578007,0.009212668053805828,0.007737320382148027,0.012098742239177233,25
147,2,BTC,7,high,0.0028689466416835785,0.02027517929673195,0.01740623265504837,0.01024682506918907,25
148,0,BTC,1,high,-0.00418084068223834,0.0040530976839363575,0.008233938366174698,0.004821263579651713,25
