round,arm,asset,horizon,reward_lp,val_mse_before,val_mse_after,mean_reward_est,pulls_arm
151,3,LTC,1,8.536642417311668e-05,0.0034195377957075834,0.0033341713715344667,0.012046949556944046,11
152,10,ETH,3,0.0010969261638820171,0.006706505548208952,0.005609579384326935,0.005697316871109334,11
153,9,ETH,1,0.0007937734480947256,0.002877958584576845,0.0020841851364821196,0.0047873796006156644,11
154,12,DOGE,1,-0.0005765266250818968,0.0011019405210390687,0.0016784671461209655,0.003376492574302987,11
155,13,DOGE,3,-0.0008175473194569349,0.0029219244606792927,0.0037394717801362276,0.0019208817869763484,11
156,11,ETH,7,-0.0009855059906840324,0.009795797057449818,0.01078130304813385,0.0015546541491692715,11
157,8,XRP,7,0.0005342289805412292,0.032014522701501846,0.03148029372096062,0.001652168110013008,11
158,14,DOGE,7,0.0006605167873203754,0.006339777261018753,0.005679260473698378,0.0015738165344704282,11
159,7,XRP,3,0.0011503584682941437,0.013894224539399147,0.012743866071105003,0.00030631106346845627,11
160,2,BTC,7,-0.005465943366289139,0.022820081561803818,0.028286024928092957,-0.0037117415869777856,11
161,6,XRP,1,0.00017501786351203918,0.005579149816185236,0.005404131952673197,-0.0037981349212879495,11
162,4,LTC,3,5.9359241276979446e-05,0.006807582452893257,0.006748223211616278,-0.004110445395450702,11
163,5,LTC,7,-7.166992872953415e-05,0.01160494890064001,0.011676618829369545,-0.004597366364164785,11
164,0,BTC,1,0.002507946453988552,0.011829559691250324,0.009321613237261772,-0.010265867268158632,11
165,1,BTC,3,0.004048854112625122,0.01497633196413517,0.010927477851510048,-0.010499020445753226,11
166,3,LTC,1,-0.0010639058891683817,0.003736288519576192,0.004800194408744574,0.01095437826976801,12
167,10,ETH,3,-0.0020478572696447372,0.0053640566766262054,0.007411913946270943,0.005051885692713161,12
168,9,ETH,1,-0.003374937456101179,0.0053717647679150105,0.00874670222401619,0.004107186512555927,12
169,12,DOGE,1,-0.0027622049674391747,0.00699238758534193,0.009754592552781105,0.0028649344458244737,12
170,13,DOGE,3,-0.0021780235692858696,0.010819177143275738,0.012997200712561607,0.0015793063406211636,12
171,8,XRP,7,0.0011806748807430267,0.04182928800582886,0.04064861312508583,0.0016128770075738428,12
172,14,DOGE,7,0.0030317967757582664,0.01353108137845993,0.010499284602701664,0.0016953148879110813,12
173,11,ETH,7,0.004198024049401283,0.014721320942044258,0.010523296892642975,0.0017749349741886058,12
174,7,XRP,3,0.002960384823381901,0.016084451228380203,0.013124066404998302,0.0005274838767945766,12
175,2,BTC,7,-0.007302820682525635,0.022835221141576767,0.0301380418241024,-0.004010998178273439,12
176,6,XRP,1,9.54694114625454e-05,0.0054154712706804276,0.005320001859217882,-0.0034736678935587415,12
177,4,LTC,3,-2.0302366465330124e-05,0.00643635680899024,0.00645665917545557,-0.003769600143035254,12
178,5,LTC,7,1.9064173102378845e-06,0.011288373731076717,0.01128646731376648,-0.0042140936323752,12
179,0,BTC,1,0.005796543322503567,0.019319873303174973,0.013523329980671406,-0.008927333052270116,12
180,1,BTC,3,0.007702942937612534,0.019446158781647682,0.011743215844035149,-0.008982190163806079,12
181,3,LTC,1,-0.0011588928755372763,0.0031750265043228865,0.004333919379860163,0.010022588181667604,13
182,10,ETH,3,-0.003327975980937481,0.005663637071847916,0.008991613052785397,0.004407280948586188,13
183,9,ETH,1,-0.0037775374948978424,0.0070267291739583015,0.010804266668856144,0.003500669281213329,13
184,12,DOGE,1,-0.0008427430875599384,0.005290697328746319,0.006133440416306257,0.0025797284817179805,13
185,11,ETH,7,-0.00030488520860671997,0.018082143738865852,0.018387028947472572,0.001614948806281273,13
186,14,DOGE,7,0.0015170280821621418,0.008607727475464344,0.007090699393302202,0.001681600518238086,13
187,8,XRP,7,0.002952609211206436,0.034530289471149445,0.03157768025994301,0.0017159333309301962,13
188,13,DOGE,3,0.0009375752415508032,0.003916492220014334,0.0029789169784635305,0.0015299424099234436,13
189,7,XRP,3,0.0007668258622288704,0.013334072194993496,0.012567246332764626,0.0005458947987510607,13
190,6,XRP,1,0.00026178546249866486,0.005669992417097092,0.005408206954598427,-0.0031863253277081716,13
191,4,LTC,3,3.194436430931091e-05,0.006780775263905525,0.006748830899596214,-0.0034771736424702875,13
192,2,BTC,7,0.0006862170994281769,0.023557106032967567,0.02287088893353939,-0.003649673926142546,13
193,5,LTC,7,0.0002475045621395111,0.011773819103837013,0.011526314541697502,-0.003870893771258684,13
194,0,BTC,1,-0.0005693770945072174,0.007933937944471836,0.008503315038979053,-0.008284413363211432,13
195,1,BTC,3,0.002392376773059368,0.014009104110300541,0.011616727337241173,-0.008107223476354892,13
196,3,LTC,1,-0.00042704096995294094,0.0028549986891448498,0.0032820396590977907,0.009276186099408994,14
197,10,ETH,3,-0.0010307179763913155,0.00459197536110878,0.005622693337500095,0.004018852453944938,14
198,9,ETH,1,-0.002146410755813122,0.0033881906419992447,0.0055346013978123665,0.0030973064214257257,14
199,12,DOGE,1,-0.0008878149092197418,0.0029489502776414156,0.0038367651868611574,0.0023320468109367144,14
200,8,XRP,7,0.0013385936617851257,0.03360571712255478,0.03226712346076965,0.0016889804974198341,14
